,accid_type,accident_contents,from_direction,lane,lat,lng,reception_date,reception_time,reception_viewpoint,region,to_direction
207,사고,<긴급>=사고=원주 한지공원4거리-이화마을4거리방향.이화마을4거리 가기전 1차로에서 승합차.화물차간 추돌사고.처리전,한지공원4거리,1,37.338341,127.931181,2020-04-04,8:46,이화마을4거리,원주,이화마을4거리
208,사고,"<긴급>=사고=원주 남부시장에서 젊음의광장4거리 방향, 남부시장 지나 승용차간 추돌사고, 사고처리전",남부시장,,37.342570,127.954959,2020-04-03,20:04,남부시장,원주,젊음의광장4거리
209,사고,"<긴급>=사고=원주 서원대로, 둣내4거리에서 무실4거리 방향 200미터 지난지점 3차로에서 승용차간 추돌사고.처리전",둣내4거리,3,37.342323,127.935089,2020-04-03,18:37,둣내4거리,원주,무실4거리
210,사고,"<긴급>=사고=원주 원일로, 남부시장4거리 방향 지하상가4거리 지나 3차로에서 승용차.택시간 추돌사고.처리전",남부시장4거리,3,37.351085,127.947603,2020-04-03,15:33,자하상가4거리,원주,지하상가4거리
211,사고,"<긴급>=사고=이천 터미널에서 설봉공원 방향, 설봉공원입구 부근 오토바이와 승용차간 추돌사고, 사고처리전",터미널,,37.276989,127.429118,2020-04-03,14:28,설봉공원,이천,설봉공원
212,사고,"<긴급>=사고=원주 법조4거리 내 승용차간 추돌사고, 사고처리중",,,37.334266,127.932099,2020-04-03,14:25,법조사거리,원주,
213,사고,<긴급>=사고=원주자동차전용도로 광터교차로에서 선녀골3거리 방향 흥양교차로내 승용차간 측면 추돌사고.사고처리전,광터교차로,,37.388942,127.990550,2020-04-03,13:16,흥양교차로,원주,선녀골3거리
214,사고,"<긴급>=사고=이천 교육청에서 창전4거리 방향, 중간지점 승용차간 충돌사고, 사고처리전",교육청,,37.285663,127.448459,2020-04-03,13:13,창전4거리,이천,창전4거리
215,사고,"<긴급>-사고-원주 혁신로, 금두3거리에서 미래3거리 방향 중간지점, 승용차간 추돌사고. 사고처리 전",금두3거리,,37.327919,127.993320,2020-04-03,10:14,미래3거리,원주,미래3거리
216,사고,"<긴급>-사고-원주 치악로 판부농협 주차장입구, 승용차와 오토바이관련 사고, 사고처리 전",,,37.320095,127.965200,2020-04-03,9:33,판부농협,원주,
